candidate,role,lag,transport,correlation,n_eval,score
recipe_plus_transport,transport,6,same_federal_district,0.11861521207500142,20829,0.11861521207500142
recipe_plus_transport,transport,6,distance_inverse,0.11725169462330283,20829,0.11725169462330283
recipe_plus_transport,transport,6,distance_band_800,0.11698070394218432,20829,0.11698070394218432
recipe_plus_transport,transport,2,distance_inverse,0.11645253630465936,20829,0.11645253630465936
recipe_plus_transport,transport,1,distance_inverse,0.11582545163301385,20829,0.11582545163301385
recipe_plus_transport,transport,2,same_federal_district,0.11555322964604599,20829,0.11555322964604599
recipe_plus_transport,transport,2,distance_band_800,0.11521008901293289,20829,0.11521008901293289
recipe_plus_transport,transport,1,same_federal_district,0.11509136432777951,20829,0.11509136432777951
recipe_plus_transport,transport,3,distance_inverse,0.11479447818097714,20829,0.11479447818097714
recipe_plus_transport,transport,5,distance_inverse,0.11302394249125138,20829,0.11302394249125138
recipe_plus_transport,transport,1,distance_band_800,0.11244631474168411,20829,0.11244631474168411
recipe_plus_transport,transport,3,distance_band_800,0.11228033330821025,20829,0.11228033330821025
recipe_plus_transport,transport,3,same_federal_district,0.11221101605001745,20829,0.11221101605001745
recipe_plus_transport,transport,4,distance_inverse,0.11070826642794836,20829,0.11070826642794836
recipe_plus_transport,transport,5,same_federal_district,0.10945557734690457,20829,0.10945557734690457
recipe_plus_transport,transport,5,distance_band_800,0.10932561496904285,20829,0.10932561496904285
recipe_plus_transport,transport,4,distance_band_800,0.10452814194316552,20829,0.10452814194316552
recipe_plus_transport,transport,4,same_federal_district,0.10386778610431693,20829,0.10386778610431693
body_ipc_food_no_alcohol,body,0,,-0.056214930867132806,20829,0.056214930867132806
body_ipc_food_no_alcohol,body,5,,-0.05189552757165162,20404,0.05189552757165162
body_ipc_food_no_alcohol,body,1,,-0.05165804845514738,20744,0.05165804845514738
body_ipc_food_no_alcohol,body,6,,-0.051420157287428145,20319,0.051420157287428145
body_ipc_food_no_alcohol,body,3,,-0.04218052126584662,20574,0.04218052126584662
body_ipc_food_no_alcohol,body,2,,-0.03988849420630479,20659,0.03988849420630479
body_ipc_food_ex_veg_pot_fruit,body,4,,0.033051409162893376,20574,0.033051409162893376
body_ipc_nonfood_broad,body,0,,0.029765279142205777,20829,0.029765279142205777
body_ipc_food_no_alcohol,body,4,,-0.027280675917503973,20489,0.027280675917503973
body_ipc_food_ex_veg_pot_fruit,body,0,,0.02711598708719252,20914,0.02711598708719252
body_ipc_diesel,body,1,,-0.023775084461350682,16869,0.023775084461350682
body_ipc_food_ex_veg_pot_fruit,body,6,,-0.022589940818780078,20404,0.022589940818780078
body_ipc_nonfood_broad,body,4,,0.019280195048840054,20489,0.019280195048840054
body_ipc_services_broad,body,2,,-0.01765538919701193,20659,0.01765538919701193
body_ipc_nonfood_broad,body,2,,0.017634885233989928,20659,0.017634885233989928
body_ipc_motor_fuel,body,0,,0.017375411809897177,16869,0.017375411809897177
body_ipc_food_ex_veg_pot_fruit,body,3,,0.016576184629271885,20659,0.016576184629271885
body_ipc_food_ex_veg_pot_fruit,body,5,,-0.016216082851581437,20489,0.016216082851581437
body_ipc_diesel,body,6,,0.014921218138635646,16444,0.014921218138635646
body_ipc_nonfood_broad,body,3,,0.014252620175219378,20574,0.014252620175219378
body_ipc_rail_transport,body,1,,-0.014156257184074917,19375,0.014156257184074917
body_ipc_gasoline,body,0,,0.013941102106146519,20914,0.013941102106146519
body_ipc_diesel,body,5,,0.013672185823672543,16529,0.013672185823672543
body_ipc_motor_fuel,body,5,,0.013540420777031173,16444,0.013540420777031173
body_ipc_motor_fuel,body,4,,0.01311687120032735,16529,0.01311687120032735
body_ipc_nonfood_broad,body,6,,0.013093136914401154,20319,0.013093136914401154
body_ipc_passenger_transport,body,6,,0.01260272442552411,20404,0.01260272442552411
body_ipc_services_broad,body,5,,0.012417526830021857,20404,0.012417526830021857
body_ipc_passenger_transport,body,2,,-0.012309676650232608,20744,0.012309676650232608
body_ipc_passenger_transport,body,1,,-0.012266671460054338,20829,0.012266671460054338
body_ipc_motor_fuel,body,6,,0.01206031510640506,16359,0.01206031510640506
body_ipc_passenger_transport,body,5,,0.011929060664794629,20489,0.011929060664794629
body_ipc_rail_transport,body,6,,0.010828384610356389,18970,0.010828384610356389
body_ipc_nonfood_broad,body,5,,0.010696564155659108,20404,0.010696564155659108
body_ipc_rail_transport,body,0,,0.01056244478500874,19456,0.01056244478500874
body_ipc_rail_transport,body,5,,0.00937180290870112,19051,0.00937180290870112
body_ipc_gasoline,body,3,,0.008484987078919712,20659,0.008484987078919712
