candidate,role,lag,transport,correlation,n_eval,score
recipe_plus_transport,transport,6,distance_band_800,0.0859008041061195,20829,0.0859008041061195
recipe_plus_transport,transport,2,same_federal_district,0.08568032811224939,20829,0.08568032811224939
recipe_plus_transport,transport,1,same_federal_district,0.08549252321285405,20829,0.08549252321285405
recipe_plus_transport,transport,6,same_federal_district,0.08523527673991545,20829,0.08523527673991545
recipe_plus_transport,transport,2,distance_band_800,0.08483638360863695,20829,0.08483638360863695
recipe_plus_transport,transport,1,distance_band_800,0.08356194730477201,20829,0.08356194730477201
recipe_plus_transport,transport,6,distance_inverse,0.08327388460364288,20829,0.08327388460364288
recipe_plus_transport,transport,2,distance_inverse,0.08262641278615966,20829,0.08262641278615966
recipe_plus_transport,transport,1,distance_inverse,0.08214135746309571,20829,0.08214135746309571
recipe_plus_transport,transport,5,distance_band_800,0.08158000643282902,20829,0.08158000643282902
recipe_plus_transport,transport,5,same_federal_district,0.08101633723425462,20829,0.08101633723425462
recipe_plus_transport,transport,5,distance_inverse,0.08083464453178246,20829,0.08083464453178246
recipe_plus_transport,transport,3,distance_inverse,0.08030739351555934,20829,0.08030739351555934
recipe_plus_transport,transport,3,distance_band_800,0.08020213219156708,20829,0.08020213219156708
recipe_plus_transport,transport,3,same_federal_district,0.07953488563022842,20829,0.07953488563022842
recipe_plus_transport,transport,4,distance_inverse,0.07861627476831756,20829,0.07861627476831756
recipe_plus_transport,transport,4,distance_band_800,0.07628784156539088,20829,0.07628784156539088
recipe_plus_transport,transport,4,same_federal_district,0.075784727646437,20829,0.075784727646437
body_ipc_food_no_alcohol,body,5,,-0.04484243164532722,20404,0.04484243164532722
body_ipc_nonfood_broad,body,3,,0.04471927664133909,20574,0.04471927664133909
body_ipc_nonfood_broad,body,0,,0.04248337603446329,20829,0.04248337603446329
body_ipc_nonfood_broad,body,1,,0.040349342816093786,20744,0.040349342816093786
body_ipc_nonfood_broad,body,2,,0.04010300946437285,20659,0.04010300946437285
body_ipc_food_no_alcohol,body,4,,-0.034929839167680804,20489,0.034929839167680804
body_ipc_food_ex_veg_pot_fruit,body,3,,0.0335213047531997,20489,0.0335213047531997
