candidate,role,lag,transport,correlation,n_eval,score
recipe_plus_transport,transport,5,distance_band_800,0.05603287419786187,20829,0.05603287419786187
recipe_plus_transport,transport,5,same_federal_district,0.05578484226135822,20829,0.05578484226135822
recipe_plus_transport,transport,5,distance_inverse,0.054817975557637545,20829,0.054817975557637545
recipe_plus_transport,transport,6,same_federal_district,0.054684534421424943,20829,0.054684534421424943
recipe_plus_transport,transport,4,same_federal_district,0.054116307998814894,20829,0.054116307998814894
recipe_plus_transport,transport,4,distance_inverse,0.053886839110477085,20829,0.053886839110477085
recipe_plus_transport,transport,6,distance_inverse,0.05379032618825524,20829,0.05379032618825524
recipe_plus_transport,transport,2,distance_inverse,0.05378380575099028,20829,0.05378380575099028
recipe_plus_transport,transport,6,distance_band_800,0.05366084376716337,20829,0.05366084376716337
recipe_plus_transport,transport,4,distance_band_800,0.053581056224569705,20829,0.053581056224569705
recipe_plus_transport,transport,1,distance_inverse,0.053273654570686044,20829,0.053273654570686044
recipe_plus_transport,transport,1,distance_band_800,0.053235150711305544,20829,0.053235150711305544
recipe_plus_transport,transport,3,distance_inverse,0.05313908240426431,20829,0.05313908240426431
recipe_plus_transport,transport,3,distance_band_800,0.053025240172828815,20829,0.053025240172828815
recipe_plus_transport,transport,2,distance_band_800,0.05275045830611002,20829,0.05275045830611002
recipe_plus_transport,transport,1,same_federal_district,0.052209888196741,20829,0.052209888196741
recipe_plus_transport,transport,2,same_federal_district,0.05220017962131416,20829,0.05220017962131416
recipe_plus_transport,transport,3,same_federal_district,0.049844083433891566,20829,0.049844083433891566
body_ipc_passenger_transport,body,0,,-0.03936457200238778,20829,0.03936457200238778
body_ipc_passenger_transport,body,1,,-0.0224792078162578,20744,0.0224792078162578
body_ipc_rail_transport,body,0,,-0.02158432143246344,19456,0.02158432143246344
body_ipc_rail_transport,body,6,,-0.020589387484561836,18970,0.020589387484561836
body_ipc_rail_transport,body,2,,-0.01752884185495002,19294,0.01752884185495002
body_ipc_rail_transport,body,5,,-0.0170461865076502,19051,0.0170461865076502
body_ipc_rail_transport,body,3,,0.016993024299277584,19213,0.016993024299277584
body_ipc_passenger_transport,body,5,,-0.01581359856444044,20404,0.01581359856444044
body_ipc_food_no_alcohol,body,2,,0.014607076096762985,20574,0.014607076096762985
body_ipc_diesel,body,2,,-0.014547319083880522,16699,0.014547319083880522
body_ipc_diesel,body,5,,-0.014421820486000277,16444,0.014421820486000277
body_ipc_food_ex_veg_pot_fruit,body,5,,-0.014216929825368449,20319,0.014216929825368449
body_ipc_passenger_transport,body,6,,-0.013826602869680907,20319,0.013826602869680907
body_ipc_diesel,body,1,,-0.013620114340417506,16784,0.013620114340417506
body_ipc_nonfood_broad,body,0,,0.012831565690324379,20744,0.012831565690324379
body_ipc_food_ex_veg_pot_fruit,body,2,,0.01262664848298527,20574,0.01262664848298527
body_ipc_motor_fuel,body,3,,-0.012230261126413582,16529,0.012230261126413582
body_ipc_food_no_alcohol,body,1,,0.010565844240813168,20659,0.010565844240813168
body_ipc_food_ex_veg_pot_fruit,body,0,,0.01036371762181143,20744,0.01036371762181143
body_ipc_food_ex_veg_pot_fruit,body,3,,0.009970173927382305,20489,0.009970173927382305
body_ipc_rail_transport,body,4,,0.008816766148450868,19132,0.008816766148450868
body_ipc_passenger_transport,body,2,,-0.00836718926796137,20659,0.00836718926796137
body_ipc_gasoline,body,0,,0.007624353051880357,20829,0.007624353051880357
body_ipc_gasoline,body,3,,-0.007545851006378733,20574,0.007545851006378733
body_ipc_nonfood_broad,body,3,,0.00746181756748455,20489,0.00746181756748455
body_ipc_gasoline,body,2,,-0.0072475191804263015,20659,0.0072475191804263015
body_ipc_food_no_alcohol,body,0,,0.00723640437685931,20744,0.00723640437685931
body_ipc_food_no_alcohol,body,3,,-0.0070200161092958254,20489,0.0070200161092958254
body_ipc_passenger_transport,body,3,,-0.006935095189125113,20574,0.006935095189125113
body_ipc_diesel,body,3,,-0.006766517353285432,16614,0.006766517353285432
body_ipc_motor_fuel,body,5,,0.006589375045951435,16359,0.006589375045951435
body_ipc_gasoline,body,5,,0.006569283286575913,20404,0.006569283286575913
body_ipc_food_no_alcohol,body,4,,-0.006162280502071747,20404,0.006162280502071747
body_ipc_food_no_alcohol,body,5,,-0.0056835062131311235,20319,0.0056835062131311235
body_ipc_gasoline,body,4,,0.0056013320981837655,20489,0.0056013320981837655
body_ipc_nonfood_broad,body,4,,0.005487239405161274,20404,0.005487239405161274
body_ipc_food_ex_veg_pot_fruit,body,4,,-0.005278190698028194,20404,0.005278190698028194
body_ipc_nonfood_broad,body,6,,0.004867574150906778,20234,0.004867574150906778
body_ipc_motor_fuel,body,6,,0.004538835672968214,16274,0.004538835672968214
body_ipc_motor_fuel,body,0,,0.004071105264335927,16784,0.004071105264335927
body_ipc_motor_fuel,body,2,,-0.004059126836124736,16614,0.004059126836124736
body_ipc_nonfood_broad,body,2,,0.0034729394366749783,20574,0.0034729394366749783
body_ipc_diesel,body,6,,-0.0033433537472776632,16359,0.0033433537472776632
body_ipc_gasoline,body,1,,-0.0027917786411472394,20744,0.0027917786411472394
body_ipc_nonfood_broad,body,1,,0.0024941415740157126,20659,0.0024941415740157126
body_ipc_gasoline,body,6,,0.002454044912345713,20319,0.002454044912345713
body_ipc_passenger_transport,body,4,,0.002453094133106998,20489,0.002453094133106998
body_ipc_food_ex_veg_pot_fruit,body,6,,-0.0022016364132118734,20234,0.0022016364132118734
body_ipc_diesel,body,4,,0.0021209960905906604,16529,0.0021209960905906604
body_ipc_motor_fuel,body,4,,0.0020439510613555066,16444,0.0020439510613555066
body_ipc_motor_fuel,body,1,,0.0013299575854544337,16699,0.0013299575854544337
body_ipc_food_no_alcohol,body,6,,-0.0012326308621607115,20234,0.0012326308621607115
body_ipc_rail_transport,body,1,,-0.0011680634399277607,19375,0.0011680634399277607
body_ipc_nonfood_broad,body,5,,-0.0009859170668033855,20319,0.0009859170668033855
body_ipc_food_ex_veg_pot_fruit,body,1,,-0.0005860626123509009,20659,0.0005860626123509009
body_ipc_diesel,body,0,,7.057320106232626e-05,16869,7.057320106232626e-05
