candidate,role,lag,transport,correlation,n_eval,score
recipe_plus_transport,transport,5,same_federal_district,0.06691912158615182,20914,0.06691912158615182
recipe_plus_transport,transport,4,same_federal_district,0.06654703012518662,20914,0.06654703012518662
recipe_plus_transport,transport,4,distance_band_800,0.0654052021409529,20914,0.0654052021409529
recipe_plus_transport,transport,3,distance_band_800,0.06468186866717708,20914,0.06468186866717708
recipe_plus_transport,transport,5,distance_band_800,0.06447869229295754,20914,0.06447869229295754
recipe_plus_transport,transport,3,same_federal_district,0.06439630087189435,20914,0.06439630087189435
recipe_plus_transport,transport,5,distance_inverse,0.06384865815717641,20914,0.06384865815717641
recipe_plus_transport,transport,4,distance_inverse,0.06377548246300255,20914,0.06377548246300255
recipe_plus_transport,transport,6,same_federal_district,0.06309050040588776,20914,0.06309050040588776
recipe_plus_transport,transport,2,distance_band_800,0.06261082874021702,20914,0.06261082874021702
recipe_plus_transport,transport,3,distance_inverse,0.06255578762430565,20914,0.06255578762430565
recipe_plus_transport,transport,1,same_federal_district,0.06235710771064129,20914,0.06235710771064129
recipe_plus_transport,transport,2,same_federal_district,0.06233068982936227,20914,0.06233068982936227
recipe_plus_transport,transport,6,distance_inverse,0.06224612135219437,20914,0.06224612135219437
recipe_plus_transport,transport,1,distance_band_800,0.06220013813601121,20914,0.06220013813601121
recipe_plus_transport,transport,1,distance_inverse,0.06169738035394111,20914,0.06169738035394111
recipe_plus_transport,transport,6,distance_band_800,0.061542258679516,20914,0.061542258679516
recipe_plus_transport,transport,2,distance_inverse,0.061532405888738075,20914,0.061532405888738075
body_ipc_food_ex_veg_pot_fruit,body,0,,0.05191593769107984,20829,0.05191593769107984
body_ipc_food_ex_veg_pot_fruit,body,1,,0.03868770239599196,20744,0.03868770239599196
body_ipc_food_no_alcohol,body,1,,0.033753060619778695,20829,0.033753060619778695
body_ipc_food_no_alcohol,body,0,,0.03019081467610492,20914,0.03019081467610492
body_ipc_motor_fuel,body,3,,-0.025635443018451762,16699,0.025635443018451762
body_ipc_food_ex_veg_pot_fruit,body,5,,0.024842626727075247,20404,0.024842626727075247
body_ipc_motor_fuel,body,0,,-0.024308247841904263,16954,0.024308247841904263
body_ipc_diesel,body,3,,-0.023073892979551765,16699,0.023073892979551765
body_ipc_gasoline,body,0,,-0.022018967146864063,20914,0.022018967146864063
body_ipc_motor_fuel,body,4,,-0.021960498200175226,16614,0.021960498200175226
body_ipc_food_ex_veg_pot_fruit,body,3,,0.02168132931464152,20574,0.02168132931464152
body_ipc_gasoline,body,6,,-0.02144236737498596,20404,0.02144236737498596
body_ipc_motor_fuel,body,2,,-0.02035097944430076,16784,0.02035097944430076
body_ipc_food_ex_veg_pot_fruit,body,4,,0.019943727181296517,20489,0.019943727181296517
body_ipc_food_ex_veg_pot_fruit,body,2,,0.01959362128814745,20659,0.01959362128814745
body_ipc_food_no_alcohol,body,5,,0.019276804450136506,20489,0.019276804450136506
body_ipc_diesel,body,0,,-0.018334303093452825,16954,0.018334303093452825
body_ipc_rail_transport,body,3,,0.018077889414125838,19213,0.018077889414125838
body_ipc_motor_fuel,body,5,,-0.01740901771818127,16529,0.01740901771818127
body_ipc_motor_fuel,body,6,,-0.01677096881847707,16444,0.01677096881847707
body_ipc_diesel,body,1,,-0.016559201849120197,16869,0.016559201849120197
body_ipc_gasoline,body,2,,-0.015358157984541744,20744,0.015358157984541744
body_ipc_passenger_transport,body,3,,-0.015164775811726705,20659,0.015164775811726705
body_ipc_gasoline,body,3,,-0.013871402869623073,20659,0.013871402869623073
body_ipc_services_broad,body,1,,-0.013837644672717425,20744,0.013837644672717425
body_ipc_gasoline,body,5,,-0.013228830475168749,20489,0.013228830475168749
body_ipc_passenger_transport,body,5,,-0.012791602155603838,20489,0.012791602155603838
body_ipc_rail_transport,body,2,,0.012567775923143417,19294,0.012567775923143417
body_ipc_diesel,body,4,,-0.011410979861849304,16614,0.011410979861849304
body_ipc_motor_fuel,body,1,,-0.01100868500821871,16869,0.01100868500821871
body_ipc_gasoline,body,4,,-0.010870496963457163,20574,0.010870496963457163
body_ipc_food_no_alcohol,body,3,,0.009375767941609065,20659,0.009375767941609065
body_ipc_passenger_transport,body,0,,-0.009290228010541083,20914,0.009290228010541083
body_ipc_food_no_alcohol,body,2,,0.008795026710022512,20744,0.008795026710022512
body_ipc_food_no_alcohol,body,4,,0.00852451682279924,20574,0.00852451682279924
body_ipc_rail_transport,body,4,,-0.008402082927806713,19132,0.008402082927806713
body_ipc_food_ex_veg_pot_fruit,body,6,,0.008316011120183842,20319,0.008316011120183842
body_ipc_passenger_transport,body,6,,0.008033370748328996,20404,0.008033370748328996
body_ipc_diesel,body,2,,-0.0076409713197667555,16784,0.0076409713197667555
body_ipc_diesel,body,5,,-0.006647906640016198,16529,0.006647906640016198
body_ipc_food_no_alcohol,body,6,,0.0065972193733932144,20404,0.0065972193733932144
