region,period,value,factor_id
"Корякский округ, входящий в состав Камчатского края",2007-11,0.0,target_ipc_nonfood
"Корякский округ, входящий в состав Камчатского края",2007-12,0.0,target_ipc_nonfood
Агинский Бурятский округ (Забайкальский край),2008-07,0.0,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2006-04,266.32,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2006-09,38.28,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2006-12,257.91,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2007-08,0.0,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2007-09,0.0,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2007-10,0.0,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2007-11,0.0,target_ipc_services
"Корякский округ, входящий в состав Камчатского края",2007-12,0.0,target_ipc_services
Эвенкийский автономный округ (Красноярский край),2005-05,371.82,target_ipc_services
