Tile-код;ISO 3166-2;Полное имя;Краткое имя;Федеральный округ;Столица;Долгота столицы;Широта столицы;Tile col;Tile row;Примечание;_src
ТАТ;TA;Республика Татарстан;Татарстан;ПФО;Казань;49.1064;55.7963;8;6;;2a89c262ef8bcfa5
БАШ;BA;Республика Башкортостан;Башкортостан;ПФО;Уфа;55.9587;54.7388;9;6;;2a89c262ef8bcfa5
ЧЕЛ;CHE;Челябинская область;Челябинская;УФО;Челябинск;61.4022;55.1644;10;6;;2a89c262ef8bcfa5
ОМС;OMS;Омская область;Омская;СФО;Омск;73.3686;54.9893;11;6;;2a89c262ef8bcfa5
ГАЛ;AL;Республика Алтай;Алтай;СФО;Горно-Алтайск;85.9601;51.9587;12;6;;2a89c262ef8bcfa5
АЛТ;ALT;Алтайский край;Алтайский;СФО;Барнаул;83.7836;53.3481;13;6;;2a89c262ef8bcfa5
БУР;BU;Республика Бурятия;Бурятия;ДФО;Улан-Удэ;107.6;51.8335;14;6;;2a89c262ef8bcfa5
АМУ;AMU;Амурская область;Амурская;ДФО;Благовещенск;127.5341;50.2907;15;6;;2a89c262ef8bcfa5
ЕВР;YEV;Еврейская АО;Еврейская АО;ДФО;Биробиджан;132.9237;48.7948;16;6;;2a89c262ef8bcfa5
САХ;SAK;Сахалинская область;Сахалинская;ДФО;Южно-Сахалинск;142.7378;46.9588;17;6;;2a89c262ef8bcfa5
ОРЛ;ORL;Орловская область;Орловская;ЦФО;Орёл;36.0626;52.9685;3;7;;2a89c262ef8bcfa5
ЛИП;LIP;Липецкая область;Липецкая;ЦФО;Липецк;39.5708;52.6088;4;7;;2a89c262ef8bcfa5
ТАМ;TAM;Тамбовская область;Тамбовская;ЦФО;Тамбов;41.4523;52.7212;5;7;;2a89c262ef8bcfa5
ПЕН;PNZ;Пензенская область;Пензенская;ПФО;Пенза;45.0046;53.1959;6;7;;2a89c262ef8bcfa5
УЛН;ULY;Ульяновская область;Ульяновская;ПФО;Ульяновск;48.4001;54.3142;7;7;;2a89c262ef8bcfa5
САМ;SAM;Самарская область;Самарская;ПФО;Самара;50.1606;53.1959;8;7;;2a89c262ef8bcfa5
ОРЕ;ORE;Оренбургская область;Оренбургская;ПФО;Оренбург;55.0982;51.7682;9;7;;2a89c262ef8bcfa5
ПРИ;PRI;Приморский край;Приморский;ДФО;Владивосток;131.8859;43.1155;17;7;;2a89c262ef8bcfa5
КРС;KRS;Курская область;Курская;ЦФО;Курск;36.1873;51.7304;3;8;;2a89c262ef8bcfa5
ВОР;VOR;Воронежская область;Воронежская;ЦФО;Воронеж;39.1843;51.6608;4;8;;2a89c262ef8bcfa5
ВГГ;VGG;Волгоградская область;Волгоградская;ЮФО;Волгоград;44.5018;48.708;5;8;;2a89c262ef8bcfa5
САР;SAR;Саратовская область;Саратовская;ПФО;Саратов;46.0342;51.5331;6;8;;2a89c262ef8bcfa5
ЛНР;LPR;Луганская Народная Республика;Луганская;ЮФО;Луганск;39.3242;48.574;2;9;присоединён в 2014/2022 — нет в TopoJSON;2a89c262ef8bcfa5
БЕЛ;BEL;Белгородская область;Белгородская;ЦФО;Белгород;36.5856;50.5953;3;9;;2a89c262ef8bcfa5
РОС;ROS;Ростовская область;Ростовская;ЮФО;Ростов-на-Дону;39.7015;47.2225;4;9;;2a89c262ef8bcfa5
КЛМ;KL;Республика Калмыкия;Калмыкия;ЮФО;Элиста;44.2558;46.3081;5;9;;2a89c262ef8bcfa5
АСТ;AST;Астраханская область;Астраханская;ЮФО;Астрахань;48.0408;46.3497;6;9;;2a89c262ef8bcfa5
ДНР;DPR;Донецкая Народная Республика;Донецкая;ЮФО;Донецк;37.805;48.0023;2;10;присоединён в 2014/2022 — нет в TopoJSON;2a89c262ef8bcfa5
КРД;KDA;Краснодарский край;Краснодарский;ЮФО;Краснодар;38.975;45.0355;4;10;;2a89c262ef8bcfa5
СТА;STA;Ставропольский край;Ставропольский;СКФО;Ставрополь;41.9734;45.0428;5;10;;2a89c262ef8bcfa5
ЧЕЧ;CE;Чеченская Республика;Чеченская;СКФО;Грозный;45.6981;43.3179;6;10;;2a89c262ef8bcfa5
ДАГ;DA;Республика Дагестан;Дагестан;СКФО;Махачкала;47.5047;42.9849;7;10;;2a89c262ef8bcfa5
ХРС;KHE;Херсонская область;Херсонская;ЮФО;Геническ;34.8112;46.174;0;11;присоединён в 2014/2022 — нет в TopoJSON;2a89c262ef8bcfa5
ЗПЖ;ZAP;Запорожская область;Запорожская;ЮФО;Мелитополь;35.3677;46.8489;1;11;присоединён в 2014/2022 — нет в TopoJSON;2a89c262ef8bcfa5
СЕВ;SEV;Севастополь;Севастополь;ЮФО;Севастополь;33.5253;44.6166;2;11;присоединён в 2014/2022 — нет в TopoJSON;2a89c262ef8bcfa5
КРМ;CR;Республика Крым;Крым;ЮФО;Симферополь;34.1024;44.9524;3;11;присоединён в 2014/2022 — нет в TopoJSON;2a89c262ef8bcfa5
АДГ;AD;Республика Адыгея;Адыгея;ЮФО;Майкоп;40.1006;44.6098;4;11;;2a89c262ef8bcfa5
КЧР;KC;Карачаево-Черкесская Республика;Карачаево-Черкесская;СКФО;Черкесск;42.0568;44.2236;5;11;;2a89c262ef8bcfa5
КБР;KB;Кабардино-Балкарская Республика;Кабардино-Балкарская;СКФО;Нальчик;43.6155;43.4946;6;11;;2a89c262ef8bcfa5
ИНГ;IN;Республика Ингушетия;Ингушетия;СКФО;Магас;44.8133;43.1681;7;11;;2a89c262ef8bcfa5
СОА;SE;Республика Северная Осетия — Алания;Северная Осетия — Алания;СКФО;Владикавказ;44.6818;43.0245;6;12;;2a89c262ef8bcfa5
