fedstat_name,geo_name,federal_district,capital_city,capital_lat,capital_lon,region_code,region_type,action,note
Республика Дагестан,Республика Дагестан,Северо-Кавказский федеральный округ,Махачкала,42.9849,47.5047,DA,subject,keep,совпало со справочником
Республика Ингушетия,Республика Ингушетия,Северо-Кавказский федеральный округ,Магас,43.1681,44.8133,IN,subject,keep,совпало со справочником
Республика Калмыкия,Республика Калмыкия,Южный федеральный округ,Элиста,46.3081,44.2558,KL,subject,keep,совпало со справочником
Республика Карелия,Республика Карелия,Северо-Западный федеральный округ,Петрозаводск,61.789,34.3641,KR,subject,keep,совпало со справочником
Республика Коми,Республика Коми,Северо-Западный федеральный округ,Сыктывкар,61.6688,50.8088,KO,subject,keep,совпало со справочником
Республика Крым,Республика Крым,Южный федеральный округ,Симферополь,44.9524,34.1024,CR,subject,keep,совпало со справочником
Республика Марий Эл,Республика Марий Эл,Приволжский федеральный округ,Йошкар-Ола,56.6388,47.8908,ME,subject,keep,совпало со справочником
Республика Мордовия,Республика Мордовия,Приволжский федеральный округ,Саранск,54.1838,45.18,MO,subject,keep,совпало со справочником
Республика Саха (Якутия),Республика Саха (Якутия),Дальневосточный федеральный округ,Якутск,62.0281,129.7331,SA,subject,keep,совпало со справочником
Республика Северная Осетия-Алания,Республика Северная Осетия - Алания,Северо-Кавказский федеральный округ,Владикавказ,43.0245,44.6818,SE,subject_name_variant,map_to_canonical,вариант имени Fedstat
Республика Татарстан (Татарстан),Республика Татарстан,Приволжский федеральный округ,Казань,55.7963,49.1064,TA,subject_name_variant,map_to_canonical,вариант имени Fedstat
Республика Тыва,Республика Тыва,Сибирский федеральный округ,Кызыл,51.7191,94.4528,TY,subject,keep,совпало со справочником
Республика Хакасия,Республика Хакасия,Сибирский федеральный округ,Абакан,53.7223,91.4292,KK,subject,keep,совпало со справочником
Ростовская область,Ростовская область,Южный федеральный округ,Ростов-на-Дону,47.2225,39.7015,ROS,subject,keep,совпало со справочником
Рязанская область,Рязанская область,Центральный федеральный округ,Рязань,54.6269,39.7126,RYA,subject,keep,совпало со справочником
Самарская область,Самарская область,Приволжский федеральный округ,Самара,53.1959,50.1606,SAM,subject,keep,совпало со справочником
Саратовская область,Саратовская область,Приволжский федеральный округ,Саратов,51.5331,46.0342,SAR,subject,keep,совпало со справочником
Сахалинская область,Сахалинская область,Дальневосточный федеральный округ,Южно-Сахалинск,46.9588,142.7378,SAK,subject,keep,совпало со справочником
Свердловская область,Свердловская область,Уральский федеральный округ,Екатеринбург,56.8389,60.6122,SVE,subject,keep,совпало со справочником
Смоленская область,Смоленская область,Центральный федеральный округ,Смоленск,54.7826,32.0453,SMO,subject,keep,совпало со справочником
Ставропольский край,Ставропольский край,Северо-Кавказский федеральный округ,Ставрополь,45.0428,41.9734,STA,subject,keep,совпало со справочником
Тамбовская область,Тамбовская область,Центральный федеральный округ,Тамбов,52.7212,41.4523,TAM,subject,keep,совпало со справочником
Тверская область,Тверская область,Центральный федеральный округ,Тверь,56.8587,35.9176,TVE,subject,keep,совпало со справочником
Томская область,Томская область,Сибирский федеральный округ,Томск,56.4847,84.9482,TOM,subject,keep,совпало со справочником
Тульская область,Тульская область,Центральный федеральный округ,Тула,54.1931,37.6173,TUL,subject,keep,совпало со справочником
Тюменская область,Тюменская область,Уральский федеральный округ,Тюмень,57.1522,65.5343,TYU,subject,keep,совпало со справочником
Удмуртская Республика,Удмуртская Республика,Приволжский федеральный округ,Ижевск,56.8527,53.2114,UD,subject,keep,совпало со справочником
Ульяновская область,Ульяновская область,Приволжский федеральный округ,Ульяновск,54.3142,48.4001,ULY,subject,keep,совпало со справочником
Хабаровский край,Хабаровский край,Дальневосточный федеральный округ,Хабаровск,48.4827,135.0721,KHA,subject,keep,совпало со справочником
Ханты-Мансийский автономный округ - Югра (Тюменская область),Ханты-Мансийский автономный округ - Югра,Уральский федеральный округ,Ханты-Мансийск,61.0042,69.0019,KHM,subject_name_variant,map_to_canonical,вариант имени Fedstat
Челябинская область,Челябинская область,Уральский федеральный округ,Челябинск,55.1644,61.4022,CHE,subject,keep,совпало со справочником
Чеченская Республика,Чеченская Республика,Северо-Кавказский федеральный округ,Грозный,43.3179,45.6981,CE,subject,keep,совпало со справочником
Чувашская Республика - Чувашия,Чувашская Республика,Приволжский федеральный округ,Чебоксары,56.1322,47.2486,CU,subject_name_variant,map_to_canonical,вариант имени Fedstat
Чукотский автономный округ,Чукотский автономный округ,Дальневосточный федеральный округ,Анадырь,64.73,177.51,,subject,keep,совпало со справочником
Ямало-Ненецкий автономный округ (Тюменская область),Ямало-Ненецкий автономный округ,Уральский федеральный округ,Салехард,66.5302,66.5965,YAN,subject_name_variant,map_to_canonical,вариант имени Fedstat
Ярославская область,Ярославская область,Центральный федеральный округ,Ярославль,57.6261,39.8742,YAR,subject,keep,совпало со справочником
