fedstat_name,geo_name,federal_district,capital_city,capital_lat,capital_lon,region_code,name_short,source
Рязанская область,Рязанская область,Центральный федеральный округ,Рязань,54.6269,39.7126,RYA,Рязанская,DEEONE ru-subjects.csv
Республика Мордовия,Республика Мордовия,Приволжский федеральный округ,Саранск,54.1838,45.18,MO,Мордовия,DEEONE ru-subjects.csv
Чувашская Республика,Чувашская Республика,Приволжский федеральный округ,Чебоксары,56.1322,47.2486,CU,Чувашская,DEEONE ru-subjects.csv
Республика Татарстан,Республика Татарстан,Приволжский федеральный округ,Казань,55.7963,49.1064,TA,Татарстан,DEEONE ru-subjects.csv
Республика Башкортостан,Республика Башкортостан,Приволжский федеральный округ,Уфа,54.7388,55.9587,BA,Башкортостан,DEEONE ru-subjects.csv
Челябинская область,Челябинская область,Уральский федеральный округ,Челябинск,55.1644,61.4022,CHE,Челябинская,DEEONE ru-subjects.csv
Омская область,Омская область,Сибирский федеральный округ,Омск,54.9893,73.3686,OMS,Омская,DEEONE ru-subjects.csv
Республика Алтай,Республика Алтай,Сибирский федеральный округ,Горно-Алтайск,51.9587,85.9601,AL,Алтай,DEEONE ru-subjects.csv
Алтайский край,Алтайский край,Сибирский федеральный округ,Барнаул,53.3481,83.7836,ALT,Алтайский,DEEONE ru-subjects.csv
Республика Бурятия,Республика Бурятия,Дальневосточный федеральный округ,Улан-Удэ,51.8335,107.6,BU,Бурятия,DEEONE ru-subjects.csv
Амурская область,Амурская область,Дальневосточный федеральный округ,Благовещенск,50.2907,127.5341,AMU,Амурская,DEEONE ru-subjects.csv
Еврейская автономная область,Еврейская автономная область,Дальневосточный федеральный округ,Биробиджан,48.7948,132.9237,YEV,Еврейская АО,DEEONE ru-subjects.csv
Сахалинская область,Сахалинская область,Дальневосточный федеральный округ,Южно-Сахалинск,46.9588,142.7378,SAK,Сахалинская,DEEONE ru-subjects.csv
Орловская область,Орловская область,Центральный федеральный округ,Орёл,52.9685,36.0626,ORL,Орловская,DEEONE ru-subjects.csv
Липецкая область,Липецкая область,Центральный федеральный округ,Липецк,52.6088,39.5708,LIP,Липецкая,DEEONE ru-subjects.csv
Тамбовская область,Тамбовская область,Центральный федеральный округ,Тамбов,52.7212,41.4523,TAM,Тамбовская,DEEONE ru-subjects.csv
Пензенская область,Пензенская область,Приволжский федеральный округ,Пенза,53.1959,45.0046,PNZ,Пензенская,DEEONE ru-subjects.csv
Ульяновская область,Ульяновская область,Приволжский федеральный округ,Ульяновск,54.3142,48.4001,ULY,Ульяновская,DEEONE ru-subjects.csv
Самарская область,Самарская область,Приволжский федеральный округ,Самара,53.1959,50.1606,SAM,Самарская,DEEONE ru-subjects.csv
Оренбургская область,Оренбургская область,Приволжский федеральный округ,Оренбург,51.7682,55.0982,ORE,Оренбургская,DEEONE ru-subjects.csv
Приморский край,Приморский край,Дальневосточный федеральный округ,Владивосток,43.1155,131.8859,PRI,Приморский,DEEONE ru-subjects.csv
Курская область,Курская область,Центральный федеральный округ,Курск,51.7304,36.1873,KRS,Курская,DEEONE ru-subjects.csv
Воронежская область,Воронежская область,Центральный федеральный округ,Воронеж,51.6608,39.1843,VOR,Воронежская,DEEONE ru-subjects.csv
Волгоградская область,Волгоградская область,Южный федеральный округ,Волгоград,48.708,44.5018,VGG,Волгоградская,DEEONE ru-subjects.csv
Саратовская область,Саратовская область,Приволжский федеральный округ,Саратов,51.5331,46.0342,SAR,Саратовская,DEEONE ru-subjects.csv
Луганская Народная Республика,Луганская Народная Республика,Южный федеральный округ,Луганск,48.574,39.3242,LPR,Луганская,DEEONE ru-subjects.csv
Белгородская область,Белгородская область,Центральный федеральный округ,Белгород,50.5953,36.5856,BEL,Белгородская,DEEONE ru-subjects.csv
Ростовская область,Ростовская область,Южный федеральный округ,Ростов-на-Дону,47.2225,39.7015,ROS,Ростовская,DEEONE ru-subjects.csv
Республика Калмыкия,Республика Калмыкия,Южный федеральный округ,Элиста,46.3081,44.2558,KL,Калмыкия,DEEONE ru-subjects.csv
Астраханская область,Астраханская область,Южный федеральный округ,Астрахань,46.3497,48.0408,AST,Астраханская,DEEONE ru-subjects.csv
