label_0,label_1,label_2,period_label,period,value
Брянская область,15-72 лет,процент,значение показателя за год,2006,6.8
Брянская область,15-72 лет,процент,значение показателя за год,2007,6.4
Брянская область,15-72 лет,процент,значение показателя за год,2008,6.5
Брянская область,15-72 лет,процент,значение показателя за год,2009,10.7
Брянская область,15-72 лет,процент,I квартал,2010-Q1,10.3
Брянская область,15-72 лет,процент,II квартал,2010-Q2,8.4
Брянская область,15-72 лет,процент,III квартал,2010-Q3,6.9
Брянская область,15-72 лет,процент,IV квартал,2010-Q4,6.4
Брянская область,15-72 лет,процент,значение показателя за год,2010,8.0
Брянская область,15-72 лет,процент,I квартал,2011-Q1,7.6
Брянская область,15-72 лет,процент,II квартал,2011-Q2,7.6
Брянская область,15-72 лет,процент,III квартал,2011-Q3,6.6
Брянская область,15-72 лет,процент,IV квартал,2011-Q4,6.5
Брянская область,15-72 лет,процент,значение показателя за год,2011,7.1
Брянская область,15-72 лет,процент,I квартал,2012-Q1,4.8
Брянская область,15-72 лет,процент,II квартал,2012-Q2,5.4
Брянская область,15-72 лет,процент,III квартал,2012-Q3,4.8
Брянская область,15-72 лет,процент,IV квартал,2012-Q4,5.3
Брянская область,15-72 лет,процент,значение показателя за год,2012,5.1
Владимирская область,15-72 лет,процент,значение показателя за год,2000,12.0
Владимирская область,15-72 лет,процент,значение показателя за год,2001,10.2
Владимирская область,15-72 лет,процент,значение показателя за год,2002,10.4
Владимирская область,15-72 лет,процент,значение показателя за год,2003,10.2
Владимирская область,15-72 лет,процент,значение показателя за год,2004,9.1
Владимирская область,15-72 лет,процент,значение показателя за год,2005,9.0
Владимирская область,15-72 лет,процент,значение показателя за год,2006,10.8
Владимирская область,15-72 лет,процент,значение показателя за год,2007,6.7
Владимирская область,15-72 лет,процент,значение показателя за год,2008,5.7
Владимирская область,15-72 лет,процент,значение показателя за год,2009,8.7
Владимирская область,15-72 лет,процент,I квартал,2010-Q1,8.2
Владимирская область,15-72 лет,процент,II квартал,2010-Q2,4.8
Владимирская область,15-72 лет,процент,III квартал,2010-Q3,5.2
Владимирская область,15-72 лет,процент,IV квартал,2010-Q4,6.5
Владимирская область,15-72 лет,процент,значение показателя за год,2010,6.1
Владимирская область,15-72 лет,процент,I квартал,2011-Q1,7.2
Владимирская область,15-72 лет,процент,II квартал,2011-Q2,5.3
Владимирская область,15-72 лет,процент,III квартал,2011-Q3,4.9
Владимирская область,15-72 лет,процент,IV квартал,2011-Q4,5.6
Владимирская область,15-72 лет,процент,значение показателя за год,2011,5.7
Владимирская область,15-72 лет,процент,I квартал,2012-Q1,5.5
Владимирская область,15-72 лет,процент,II квартал,2012-Q2,3.8
Владимирская область,15-72 лет,процент,III квартал,2012-Q3,4.1
Владимирская область,15-72 лет,процент,IV квартал,2012-Q4,4.2
Владимирская область,15-72 лет,процент,значение показателя за год,2012,4.4
Воронежская область,15-72 лет,процент,значение показателя за год,2000,10.1
Воронежская область,15-72 лет,процент,значение показателя за год,2001,9.6
Воронежская область,15-72 лет,процент,значение показателя за год,2002,8.9
Воронежская область,15-72 лет,процент,значение показателя за год,2003,8.3
Воронежская область,15-72 лет,процент,значение показателя за год,2004,8.7
Воронежская область,15-72 лет,процент,значение показателя за год,2005,7.6
Воронежская область,15-72 лет,процент,значение показателя за год,2006,5.4
Воронежская область,15-72 лет,процент,значение показателя за год,2007,5.2
Воронежская область,15-72 лет,процент,значение показателя за год,2008,5.2
Воронежская область,15-72 лет,процент,значение показателя за год,2009,8.6
Воронежская область,15-72 лет,процент,I квартал,2010-Q1,7.9
Воронежская область,15-72 лет,процент,II квартал,2010-Q2,7.9
Воронежская область,15-72 лет,процент,III квартал,2010-Q3,7.9
Воронежская область,15-72 лет,процент,IV квартал,2010-Q4,6.4
Воронежская область,15-72 лет,процент,значение показателя за год,2010,7.5
Воронежская область,15-72 лет,процент,I квартал,2011-Q1,6.9
Воронежская область,15-72 лет,процент,II квартал,2011-Q2,6.8
Воронежская область,15-72 лет,процент,III квартал,2011-Q3,6.3
Воронежская область,15-72 лет,процент,IV квартал,2011-Q4,5.7
Воронежская область,15-72 лет,процент,значение показателя за год,2011,6.4
Воронежская область,15-72 лет,процент,I квартал,2012-Q1,6.0
Воронежская область,15-72 лет,процент,II квартал,2012-Q2,5.8
Воронежская область,15-72 лет,процент,III квартал,2012-Q3,5.3
Воронежская область,15-72 лет,процент,IV квартал,2012-Q4,5.0
Воронежская область,15-72 лет,процент,значение показателя за год,2012,5.5
Ивановская область,15-72 лет,процент,значение показателя за год,2000,10.4
Ивановская область,15-72 лет,процент,значение показателя за год,2001,5.9
Ивановская область,15-72 лет,процент,значение показателя за год,2002,6.9
Ивановская область,15-72 лет,процент,значение показателя за год,2003,6.5
Ивановская область,15-72 лет,процент,значение показателя за год,2004,4.7
Ивановская область,15-72 лет,процент,значение показателя за год,2005,6.9
Ивановская область,15-72 лет,процент,значение показателя за год,2006,4.2
Ивановская область,15-72 лет,процент,значение показателя за год,2007,4.3
Ивановская область,15-72 лет,процент,значение показателя за год,2008,5.2
Ивановская область,15-72 лет,процент,значение показателя за год,2009,10.8
Ивановская область,15-72 лет,процент,I квартал,2010-Q1,9.4
Ивановская область,15-72 лет,процент,II квартал,2010-Q2,7.2
Ивановская область,15-72 лет,процент,III квартал,2010-Q3,6.7
Ивановская область,15-72 лет,процент,IV квартал,2010-Q4,7.0
Ивановская область,15-72 лет,процент,значение показателя за год,2010,7.6
Ивановская область,15-72 лет,процент,I квартал,2011-Q1,7.4
Ивановская область,15-72 лет,процент,II квартал,2011-Q2,6.6
Ивановская область,15-72 лет,процент,III квартал,2011-Q3,6.5
Ивановская область,15-72 лет,процент,IV квартал,2011-Q4,6.1
Ивановская область,15-72 лет,процент,значение показателя за год,2011,6.6
Ивановская область,15-72 лет,процент,I квартал,2012-Q1,7.8
Ивановская область,15-72 лет,процент,II квартал,2012-Q2,6.7
Ивановская область,15-72 лет,процент,III квартал,2012-Q3,6.1
Ивановская область,15-72 лет,процент,IV квартал,2012-Q4,4.6
Ивановская область,15-72 лет,процент,значение показателя за год,2012,6.3
Калужская область,15-72 лет,процент,значение показателя за год,2000,8.8
Калужская область,15-72 лет,процент,значение показателя за год,2001,6.1
Калужская область,15-72 лет,процент,значение показателя за год,2002,6.6
Калужская область,15-72 лет,процент,значение показателя за год,2003,6.1
Калужская область,15-72 лет,процент,значение показателя за год,2004,6.3
Калужская область,15-72 лет,процент,значение показателя за год,2005,5.6
Калужская область,15-72 лет,процент,значение показателя за год,2006,5.6
Калужская область,15-72 лет,процент,значение показателя за год,2007,5.0
Калужская область,15-72 лет,процент,значение показателя за год,2008,4.6
Калужская область,15-72 лет,процент,значение показателя за год,2009,6.1
Калужская область,15-72 лет,процент,I квартал,2010-Q1,7.9
Калужская область,15-72 лет,процент,II квартал,2010-Q2,5.7
Калужская область,15-72 лет,процент,III квартал,2010-Q3,7.2
Калужская область,15-72 лет,процент,IV квартал,2010-Q4,5.9
Калужская область,15-72 лет,процент,значение показателя за год,2010,6.7
Калужская область,15-72 лет,процент,I квартал,2011-Q1,7.4
Калужская область,15-72 лет,процент,II квартал,2011-Q2,3.7
Калужская область,15-72 лет,процент,III квартал,2011-Q3,5.1
Калужская область,15-72 лет,процент,IV квартал,2011-Q4,6.2
Калужская область,15-72 лет,процент,значение показателя за год,2011,5.6
Калужская область,15-72 лет,процент,I квартал,2012-Q1,6.5
Калужская область,15-72 лет,процент,II квартал,2012-Q2,2.9
Калужская область,15-72 лет,процент,III квартал,2012-Q3,3.9
Калужская область,15-72 лет,процент,IV квартал,2012-Q4,3.8
Калужская область,15-72 лет,процент,значение показателя за год,2012,4.3
Костромская область,15-72 лет,процент,значение показателя за год,2000,8.8
Костромская область,15-72 лет,процент,значение показателя за год,2001,5.9
Костромская область,15-72 лет,процент,значение показателя за год,2002,5.0
Костромская область,15-72 лет,процент,значение показателя за год,2003,6.1
Костромская область,15-72 лет,процент,значение показателя за год,2004,5.9
Костромская область,15-72 лет,процент,значение показателя за год,2005,4.9
Костромская область,15-72 лет,процент,значение показателя за год,2006,4.9
Костромская область,15-72 лет,процент,значение показателя за год,2007,3.3
Костромская область,15-72 лет,процент,значение показателя за год,2008,4.9
Костромская область,15-72 лет,процент,значение показателя за год,2009,8.2
Костромская область,15-72 лет,процент,I квартал,2010-Q1,6.7
Костромская область,15-72 лет,процент,II квартал,2010-Q2,6.5
Костромская область,15-72 лет,процент,III квартал,2010-Q3,4.8
Костромская область,15-72 лет,процент,IV квартал,2010-Q4,6.0
Костромская область,15-72 лет,процент,значение показателя за год,2010,6.0
Костромская область,15-72 лет,процент,I квартал,2011-Q1,5.7
Костромская область,15-72 лет,процент,II квартал,2011-Q2,4.4
Костромская область,15-72 лет,процент,III квартал,2011-Q3,4.3
Костромская область,15-72 лет,процент,IV квартал,2011-Q4,6.2
Костромская область,15-72 лет,процент,значение показателя за год,2011,5.1
Костромская область,15-72 лет,процент,I квартал,2012-Q1,5.2
Костромская область,15-72 лет,процент,II квартал,2012-Q2,3.8
Костромская область,15-72 лет,процент,III квартал,2012-Q3,4.2
Костромская область,15-72 лет,процент,IV квартал,2012-Q4,5.9
Костромская область,15-72 лет,процент,значение показателя за год,2012,4.8
Курская область,15-72 лет,процент,значение показателя за год,2000,10.5
Курская область,15-72 лет,процент,значение показателя за год,2001,10.5
Курская область,15-72 лет,процент,значение показателя за год,2002,7.1
Курская область,15-72 лет,процент,значение показателя за год,2003,8.5
Курская область,15-72 лет,процент,значение показателя за год,2004,7.5
Курская область,15-72 лет,процент,значение показателя за год,2005,7.2
Курская область,15-72 лет,процент,значение показателя за год,2006,7.2
Курская область,15-72 лет,процент,значение показателя за год,2007,4.9
Курская область,15-72 лет,процент,значение показателя за год,2008,6.3
Курская область,15-72 лет,процент,значение показателя за год,2009,8.8
Курская область,15-72 лет,процент,I квартал,2010-Q1,11.7
Курская область,15-72 лет,процент,II квартал,2010-Q2,7.7
Курская область,15-72 лет,процент,III квартал,2010-Q3,6.9
Курская область,15-72 лет,процент,IV квартал,2010-Q4,6.6
Курская область,15-72 лет,процент,значение показателя за год,2010,8.2
Курская область,15-72 лет,процент,I квартал,2011-Q1,7.0
Курская область,15-72 лет,процент,II квартал,2011-Q2,6.4
Курская область,15-72 лет,процент,III квартал,2011-Q3,5.9
Курская область,15-72 лет,процент,IV квартал,2011-Q4,6.1
Курская область,15-72 лет,процент,значение показателя за год,2011,6.3
Курская область,15-72 лет,процент,I квартал,2012-Q1,6.5
Курская область,15-72 лет,процент,II квартал,2012-Q2,5.3
Курская область,15-72 лет,процент,III квартал,2012-Q3,4.5
Курская область,15-72 лет,процент,IV квартал,2012-Q4,4.3
Курская область,15-72 лет,процент,значение показателя за год,2012,5.1
Липецкая область,15-72 лет,процент,значение показателя за год,2000,8.7
Липецкая область,15-72 лет,процент,значение показателя за год,2001,6.4
Липецкая область,15-72 лет,процент,значение показателя за год,2002,4.9
Липецкая область,15-72 лет,процент,значение показателя за год,2003,4.5
Липецкая область,15-72 лет,процент,значение показателя за год,2004,4.3
Липецкая область,15-72 лет,процент,значение показателя за год,2005,8.2
Липецкая область,15-72 лет,процент,значение показателя за год,2006,4.9
Липецкая область,15-72 лет,процент,значение показателя за год,2007,2.7
Липецкая область,15-72 лет,процент,значение показателя за год,2008,5.0
Липецкая область,15-72 лет,процент,значение показателя за год,2009,5.6
Липецкая область,15-72 лет,процент,I квартал,2010-Q1,5.2
Липецкая область,15-72 лет,процент,II квартал,2010-Q2,4.7
Липецкая область,15-72 лет,процент,III квартал,2010-Q3,3.7
Липецкая область,15-72 лет,процент,IV квартал,2010-Q4,4.4
Липецкая область,15-72 лет,процент,значение показателя за год,2010,4.5
Липецкая область,15-72 лет,процент,I квартал,2011-Q1,5.9
