label_0,label_1,period_label,period,value
Московская область,рубль,,2000,1823.9
Московская область,рубль,,2001,2626.4
Московская область,рубль,,2002,3546.0
Московская область,рубль,,2003,4425.0
Московская область,рубль,,2004,5821.1
Московская область,рубль,,2005,7444.8
Московская область,рубль,,2006,10515.0
Московская область,рубль,,2007,14034.1
Орловская область,рубль,,1995,382.9
Орловская область,рубль,,1996,583.4
Орловская область,рубль,,1997,658.9
Орловская область,рубль,,1998,718.4
Орловская область,рубль,,1999,1102.9
Орловская область,рубль,,2000,1414.5
Орловская область,рубль,,2001,1963.2
Орловская область,рубль,,2002,2614.4
Орловская область,рубль,,2003,3225.3
Орловская область,рубль,,2004,3879.0
Орловская область,рубль,,2005,4856.5
Орловская область,рубль,,2006,5972.3
Орловская область,рубль,,2007,7324.9
Рязанская область,рубль,,1995,336.0
Рязанская область,рубль,,1996,508.0
Рязанская область,рубль,,1997,610.6
Рязанская область,рубль,,1998,610.1
Рязанская область,рубль,,1999,979.0
Рязанская область,рубль,,2000,1265.2
Рязанская область,рубль,,2001,1852.8
Рязанская область,рубль,,2002,2530.9
Рязанская область,рубль,,2003,3309.1
Рязанская область,рубль,,2004,3638.8
Рязанская область,рубль,,2005,4775.1
Рязанская область,рубль,,2006,6133.4
Рязанская область,рубль,,2007,8049.0
Смоленская область,рубль,,1995,372.5
Смоленская область,рубль,,1996,556.7
Смоленская область,рубль,,1997,662.4
Смоленская область,рубль,,1998,722.3
Смоленская область,рубль,,1999,1249.4
Смоленская область,рубль,,2000,1720.2
Смоленская область,рубль,,2001,2336.4
Смоленская область,рубль,,2002,3003.5
Смоленская область,рубль,,2003,3723.9
Смоленская область,рубль,,2004,4429.0
Смоленская область,рубль,,2005,5482.7
Смоленская область,рубль,,2006,6722.8
Смоленская область,рубль,,2007,8227.9
Тамбовская область,рубль,,1995,311.7
Тамбовская область,рубль,,1996,465.3
Тамбовская область,рубль,,1997,574.7
Тамбовская область,рубль,,1998,631.7
Тамбовская область,рубль,,1999,1112.4
Тамбовская область,рубль,,2000,1508.6
Тамбовская область,рубль,,2001,2072.0
Тамбовская область,рубль,,2002,2688.3
Тамбовская область,рубль,,2003,3416.2
Тамбовская область,рубль,,2004,4050.9
Тамбовская область,рубль,,2005,5292.4
