label_0,label_1,label_2,period_label,period,value
Северо-Западный федеральный округ,процент,значение показателя за год,,2020,109.9
Северо-Западный федеральный округ,процент,значение показателя за год,,2021,158.0
Республика Карелия,процент,значение показателя за год,,2017,123.6
Республика Карелия,процент,значение показателя за год,,2018,137.5
Республика Карелия,процент,значение показателя за год,,2019,143.9
Республика Карелия,процент,значение показателя за год,,2020,115.7
Республика Карелия,процент,значение показателя за год,,2021,168.5
Республика Коми,процент,значение показателя за год,,2017,87.9
Республика Коми,процент,значение показателя за год,,2018,93.3
Республика Коми,процент,значение показателя за год,,2019,103.3
Республика Коми,процент,значение показателя за год,,2020,63.6
Республика Коми,процент,значение показателя за год,,2021,85.8
Архангельская область,процент,значение показателя за год,,2017,91.8
Архангельская область,процент,значение показателя за год,,2018,104.4
Архангельская область,процент,значение показателя за год,,2019,121.3
Архангельская область,процент,значение показателя за год,,2020,69.0
Архангельская область,процент,значение показателя за год,,2021,114.7
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2017,49.6
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2018,58.0
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2019,84.5
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2020,54.1
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2021,76.1
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2017,94.1
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2018,106.9
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2019,123.3
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2020,69.8
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2021,116.9
Вологодская область,процент,значение показателя за год,,2017,133.9
Вологодская область,процент,значение показателя за год,,2018,147.8
Вологодская область,процент,значение показателя за год,,2019,140.4
Вологодская область,процент,значение показателя за год,,2020,83.0
Вологодская область,процент,значение показателя за год,,2021,109.4
Калининградская область,процент,значение показателя за год,,2017,178.6
Калининградская область,процент,значение показателя за год,,2018,204.1
Калининградская область,процент,значение показателя за год,,2019,213.2
Калининградская область,процент,значение показателя за год,,2020,171.8
Калининградская область,процент,значение показателя за год,,2021,270.9
Ленинградская область,процент,значение показателя за год,,2017,117.4
Ленинградская область,процент,значение показателя за год,,2018,169.1
Ленинградская область,процент,значение показателя за год,,2019,186.0
Ленинградская область,процент,значение показателя за год,,2020,153.4
Ленинградская область,процент,значение показателя за год,,2021,198.5
Мурманская область,процент,значение показателя за год,,2017,150.5
Мурманская область,процент,значение показателя за год,,2018,149.4
Мурманская область,процент,значение показателя за год,,2019,159.2
Мурманская область,процент,значение показателя за год,,2020,128.1
Мурманская область,процент,значение показателя за год,,2021,178.1
Новгородская область,процент,значение показателя за год,,2017,118.4
Новгородская область,процент,значение показателя за год,,2018,119.3
Новгородская область,процент,значение показателя за год,,2019,123.7
Новгородская область,процент,значение показателя за год,,2020,87.5
Новгородская область,процент,значение показателя за год,,2021,114.6
Псковская область,процент,значение показателя за год,,2017,115.4
Псковская область,процент,значение показателя за год,,2018,114.6
Псковская область,процент,значение показателя за год,,2019,131.5
Псковская область,процент,значение показателя за год,,2020,79.2
Псковская область,процент,значение показателя за год,,2021,113.6
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2017,184.7
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2018,209.9
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2019,215.0
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2020,108.5
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2021,159.7
Южный федеральный округ,процент,значение показателя за год,,2017,226.8
Южный федеральный округ,процент,значение показателя за год,,2018,273.6
Южный федеральный округ,процент,значение показателя за год,,2019,288.2
Южный федеральный округ,процент,значение показателя за год,,2020,217.1
Южный федеральный округ,процент,значение показателя за год,,2021,284.8
Республика Адыгея (Адыгея),процент,значение показателя за год,,2017,133.5
Республика Адыгея (Адыгея),процент,значение показателя за год,,2018,143.0
Республика Адыгея (Адыгея),процент,значение показателя за год,,2019,177.6
Республика Адыгея (Адыгея),процент,значение показателя за год,,2020,137.6
Республика Адыгея (Адыгея),процент,значение показателя за год,,2021,257.2
Республика Калмыкия,процент,значение показателя за год,,2017,111.8
Республика Калмыкия,процент,значение показателя за год,,2018,126.7
Республика Калмыкия,процент,значение показателя за год,,2019,142.8
Республика Калмыкия,процент,значение показателя за год,,2020,84.0
Республика Калмыкия,процент,значение показателя за год,,2021,134.0
Краснодарский край,процент,значение показателя за год,,2017,215.5
Краснодарский край,процент,значение показателя за год,,2018,262.0
Краснодарский край,процент,значение показателя за год,,2019,270.1
Краснодарский край,процент,значение показателя за год,,2020,205.0
Краснодарский край,процент,значение показателя за год,,2021,262.7
Астраханская область,процент,значение показателя за год,,2017,140.1
Астраханская область,процент,значение показателя за год,,2018,124.5
Астраханская область,процент,значение показателя за год,,2019,136.3
Астраханская область,процент,значение показателя за год,,2020,105.1
Астраханская область,процент,значение показателя за год,,2021,156.8
Волгоградская область,процент,значение показателя за год,,2017,129.3
Волгоградская область,процент,значение показателя за год,,2018,151.0
Волгоградская область,процент,значение показателя за год,,2019,148.3
Волгоградская область,процент,значение показателя за год,,2020,102.5
Волгоградская область,процент,значение показателя за год,,2021,153.0
Ростовская область,процент,значение показателя за год,,2017,139.2
Ростовская область,процент,значение показателя за год,,2018,161.8
Ростовская область,процент,значение показателя за год,,2019,163.8
Ростовская область,процент,значение показателя за год,,2020,107.5
Ростовская область,процент,значение показателя за год,,2021,146.9
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2017,106.1
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2018,120.8
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2019,128.3
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2020,86.6
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2021,137.8
Республика Дагестан,процент,значение показателя за год,,2017,78.3
Республика Дагестан,процент,значение показателя за год,,2018,126.4
Республика Дагестан,процент,значение показателя за год,,2019,113.6
Республика Дагестан,процент,значение показателя за год,,2020,83.0
Республика Дагестан,процент,значение показателя за год,,2021,96.3
Республика Ингушетия,процент,значение показателя за год,,2017,156.7
Республика Ингушетия,процент,значение показателя за год,,2018,211.2
Республика Ингушетия,процент,значение показателя за год,,2019,166.2
Республика Ингушетия,процент,значение показателя за год,,2020,247.1
Республика Ингушетия,процент,значение показателя за год,,2021,434.5
Кабардино-Балкарская Республика,процент,значение показателя за год,,2017,70.2
Кабардино-Балкарская Республика,процент,значение показателя за год,,2018,72.5
Кабардино-Балкарская Республика,процент,значение показателя за год,,2019,92.8
Кабардино-Балкарская Республика,процент,значение показателя за год,,2020,53.2
Кабардино-Балкарская Республика,процент,значение показателя за год,,2021,96.0
Карачаево-Черкесская Республика,процент,значение показателя за год,,2017,69.0
Карачаево-Черкесская Республика,процент,значение показателя за год,,2018,71.3
Карачаево-Черкесская Республика,процент,значение показателя за год,,2019,72.7
Карачаево-Черкесская Республика,процент,значение показателя за год,,2020,61.8
Карачаево-Черкесская Республика,процент,значение показателя за год,,2021,105.0
Республика Северная Осетия-Алания,процент,значение показателя за год,,2017,90.7
Республика Северная Осетия-Алания,процент,значение показателя за год,,2018,120.0
Республика Северная Осетия-Алания,процент,значение показателя за год,,2019,148.2
Республика Северная Осетия-Алания,процент,значение показателя за год,,2020,155.7
Республика Северная Осетия-Алания,процент,значение показателя за год,,2021,303.1
Чеченская Республика,процент,значение показателя за год,,2017,7059.3
Чеченская Республика,процент,значение показателя за год,,2018,10275.4
Чеченская Республика,процент,значение показателя за год,,2019,14134.7
Чеченская Республика,процент,значение показателя за год,,2020,16180.6
Чеченская Республика,процент,значение показателя за год,,2021,19787.6
Ставропольский край,процент,значение показателя за год,,2017,119.9
Ставропольский край,процент,значение показателя за год,,2018,129.5
Ставропольский край,процент,значение показателя за год,,2019,134.7
Ставропольский край,процент,значение показателя за год,,2020,79.2
Ставропольский край,процент,значение показателя за год,,2021,129.8
Приволжский федеральный округ,процент,значение показателя за год,,2017,121.0
Приволжский федеральный округ,процент,значение показателя за год,,2018,130.5
Приволжский федеральный округ,процент,значение показателя за год,,2019,140.4
Приволжский федеральный округ,процент,значение показателя за год,,2020,91.0
Приволжский федеральный округ,процент,значение показателя за год,,2021,137.3
Республика Башкортостан,процент,значение показателя за год,,2017,128.2
Республика Башкортостан,процент,значение показателя за год,,2018,133.4
Республика Башкортостан,процент,значение показателя за год,,2019,146.6
Республика Башкортостан,процент,значение показателя за год,,2020,102.0
Республика Башкортостан,процент,значение показателя за год,,2021,159.1
Республика Марий Эл,процент,значение показателя за год,,2017,118.9
Республика Марий Эл,процент,значение показателя за год,,2018,128.4
Республика Марий Эл,процент,значение показателя за год,,2019,132.9
Республика Марий Эл,процент,значение показателя за год,,2020,74.1
Республика Марий Эл,процент,значение показателя за год,,2021,116.3
Республика Мордовия,процент,значение показателя за год,,2017,127.8
Республика Мордовия,процент,значение показателя за год,,2018,149.8
Республика Мордовия,процент,значение показателя за год,,2019,164.9
Республика Мордовия,процент,значение показателя за год,,2020,90.4
Республика Мордовия,процент,значение показателя за год,,2021,143.1
Республика Татарстан (Татарстан),процент,значение показателя за год,,2017,146.5
Республика Татарстан (Татарстан),процент,значение показателя за год,,2018,157.9
Республика Татарстан (Татарстан),процент,значение показателя за год,,2019,163.2
Республика Татарстан (Татарстан),процент,значение показателя за год,,2020,101.3
Республика Татарстан (Татарстан),процент,значение показателя за год,,2021,148.4
Удмуртская Республика,процент,значение показателя за год,,2017,102.8
Удмуртская Республика,процент,значение показателя за год,,2018,129.6
Удмуртская Республика,процент,значение показателя за год,,2019,148.1
Удмуртская Республика,процент,значение показателя за год,,2020,97.8
Удмуртская Республика,процент,значение показателя за год,,2021,138.6
Чувашская Республика - Чувашия,процент,значение показателя за год,,2017,106.1
Чувашская Республика - Чувашия,процент,значение показателя за год,,2018,104.3
Чувашская Республика - Чувашия,процент,значение показателя за год,,2019,116.0
Чувашская Республика - Чувашия,процент,значение показателя за год,,2020,71.6
Чувашская Республика - Чувашия,процент,значение показателя за год,,2021,118.9
Пермский край,процент,значение показателя за год,,2017,112.5
Пермский край,процент,значение показателя за год,,2018,125.2
Пермский край,процент,значение показателя за год,,2019,128.0
Пермский край,процент,значение показателя за год,,2020,82.6
Пермский край,процент,значение показателя за год,,2021,123.1
Кировская область,процент,значение показателя за год,,2017,114.0
Кировская область,процент,значение показателя за год,,2018,124.2
Кировская область,процент,значение показателя за год,,2019,127.2
Кировская область,процент,значение показателя за год,,2020,85.4
Кировская область,процент,значение показателя за год,,2021,133.1
Нижегородская область,процент,значение показателя за год,,2017,124.8
Нижегородская область,процент,значение показателя за год,,2018,138.8
Нижегородская область,процент,значение показателя за год,,2019,148.5
Нижегородская область,процент,значение показателя за год,,2020,88.3
Нижегородская область,процент,значение показателя за год,,2021,168.7
Оренбургская область,процент,значение показателя за год,,2017,68.7
Оренбургская область,процент,значение показателя за год,,2018,69.2
Оренбургская область,процент,значение показателя за год,,2019,75.6
Оренбургская область,процент,значение показателя за год,,2020,44.1
Оренбургская область,процент,значение показателя за год,,2021,62.7
Пензенская область,процент,значение показателя за год,,2017,138.0
Пензенская область,процент,значение показателя за год,,2018,133.6
Пензенская область,процент,значение показателя за год,,2019,189.3
Пензенская область,процент,значение показателя за год,,2020,125.2
Пензенская область,процент,значение показателя за год,,2021,156.0
Самарская область,процент,значение показателя за год,,2017,105.8
Самарская область,процент,значение показателя за год,,2018,120.0
Самарская область,процент,значение показателя за год,,2019,123.5
Самарская область,процент,значение показателя за год,,2020,87.5
Самарская область,процент,значение показателя за год,,2021,110.5
Саратовская область,процент,значение показателя за год,,2017,121.4
Саратовская область,процент,значение показателя за год,,2018,111.1
Саратовская область,процент,значение показателя за год,,2019,134.8
Саратовская область,процент,значение показателя за год,,2020,97.4
Саратовская область,процент,значение показателя за год,,2021,151.4
Ульяновская область,процент,значение показателя за год,,2017,156.7
Ульяновская область,процент,значение показателя за год,,2018,179.1
Ульяновская область,процент,значение показателя за год,,2019,198.7
Ульяновская область,процент,значение показателя за год,,2020,140.5
Ульяновская область,процент,значение показателя за год,,2021,177.6
Уральский федеральный округ,процент,значение показателя за год,,2017,110.6
Уральский федеральный округ,процент,значение показателя за год,,2018,122.2
Уральский федеральный округ,процент,значение показателя за год,,2019,129.0
Уральский федеральный округ,процент,значение показателя за год,,2020,82.6
Уральский федеральный округ,процент,значение показателя за год,,2021,122.7
Курганская область,процент,значение показателя за год,,2017,124.6
Курганская область,процент,значение показателя за год,,2018,138.0
Курганская область,процент,значение показателя за год,,2019,153.6
Курганская область,процент,значение показателя за год,,2020,101.1
Курганская область,процент,значение показателя за год,,2021,141.0
Свердловская область,процент,значение показателя за год,,2017,103.0
Свердловская область,процент,значение показателя за год,,2018,116.7
Свердловская область,процент,значение показателя за год,,2019,123.4
Свердловская область,процент,значение показателя за год,,2020,74.1
Свердловская область,процент,значение показателя за год,,2021,117.0
Тюменская область,процент,значение показателя за год,,2017,115.9
Тюменская область,процент,значение показателя за год,,2018,128.6
Тюменская область,процент,значение показателя за год,,2019,138.7
