label_0,label_1,label_2,period_label,period,value
Тверская область,процент,значение показателя за год,,2012,5.0
Тверская область,процент,значение показателя за год,,2013,5.3
Тверская область,процент,значение показателя за год,,2014,5.3
Тверская область,процент,значение показателя за год,,2015,5.6
Тверская область,процент,значение показателя за год,,2016,5.8
Тверская область,процент,значение показателя за год,,2017,4.5
Тверская область,процент,значение показателя за год,,2018,4.1
Тульская область,процент,значение показателя за год,,2010,5.8
Тульская область,процент,значение показателя за год,,2011,5.3
Тульская область,процент,значение показателя за год,,2012,4.6
Тульская область,процент,значение показателя за год,,2013,4.2
Тульская область,процент,значение показателя за год,,2014,4.1
Тульская область,процент,значение показателя за год,,2015,4.1
Тульская область,процент,значение показателя за год,,2016,4.1
Тульская область,процент,значение показателя за год,,2017,3.9
Тульская область,процент,значение показателя за год,,2018,3.9
Ярославская область,процент,значение показателя за год,,2010,7.5
Ярославская область,процент,значение показателя за год,,2011,5.1
Ярославская область,процент,значение показателя за год,,2012,3.4
Ярославская область,процент,значение показателя за год,,2013,4.5
Ярославская область,процент,значение показателя за год,,2014,3.8
Ярославская область,процент,значение показателя за год,,2015,5.3
Ярославская область,процент,значение показателя за год,,2016,6.7
Ярославская область,процент,значение показателя за год,,2017,6.6
Ярославская область,процент,значение показателя за год,,2018,5.5
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2010,1.8
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2011,1.4
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2012,0.8
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2013,1.7
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2014,1.5
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2015,1.8
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2016,1.8
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2017,1.4
Город Москва столица Российской Федерации город федерального значения,процент,значение показателя за год,,2018,1.2
Северо-Западный федеральный округ,процент,значение показателя за год,,2010,5.9
Северо-Западный федеральный округ,процент,значение показателя за год,,2011,5.1
Северо-Западный федеральный округ,процент,значение показателя за год,,2012,4.0
Северо-Западный федеральный округ,процент,значение показателя за год,,2013,4.3
Северо-Западный федеральный округ,процент,значение показателя за год,,2014,4.1
Северо-Западный федеральный округ,процент,значение показателя за год,,2015,4.7
Северо-Западный федеральный округ,процент,значение показателя за год,,2016,4.6
Северо-Западный федеральный округ,процент,значение показателя за год,,2017,4.2
Северо-Западный федеральный округ,процент,значение показателя за год,,2018,3.9
Республика Карелия,процент,значение показателя за год,,2010,9.3
Республика Карелия,процент,значение показателя за год,,2011,8.4
Республика Карелия,процент,значение показателя за год,,2012,7.0
Республика Карелия,процент,значение показателя за год,,2013,8.2
Республика Карелия,процент,значение показателя за год,,2014,8.1
Республика Карелия,процент,значение показателя за год,,2015,8.8
Республика Карелия,процент,значение показателя за год,,2016,9.2
Республика Карелия,процент,значение показателя за год,,2017,8.6
Республика Карелия,процент,значение показателя за год,,2018,8.7
Республика Коми,процент,значение показателя за год,,2010,10.1
Республика Коми,процент,значение показателя за год,,2011,8.2
Республика Коми,процент,значение показателя за год,,2012,6.4
Республика Коми,процент,значение показателя за год,,2013,7.1
Республика Коми,процент,значение показателя за год,,2014,6.0
Республика Коми,процент,значение показателя за год,,2015,7.0
Республика Коми,процент,значение показателя за год,,2016,8.7
Республика Коми,процент,значение показателя за год,,2017,7.8
Республика Коми,процент,значение показателя за год,,2018,7.3
Архангельская область,процент,значение показателя за год,,2010,6.9
Архангельская область,процент,значение показателя за год,,2011,5.9
Архангельская область,процент,значение показателя за год,,2012,5.4
Архангельская область,процент,значение показателя за год,,2013,6.1
Архангельская область,процент,значение показателя за год,,2014,7.2
Архангельская область,процент,значение показателя за год,,2015,6.8
Архангельская область,процент,значение показателя за год,,2016,7.1
Архангельская область,процент,значение показателя за год,,2017,6.5
Архангельская область,процент,значение показателя за год,,2018,6.4
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2010,6.5
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2011,8.7
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2012,6.9
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2013,7.1
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2014,5.3
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2015,7.9
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2016,8.5
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2017,8.0
Ненецкий автономный округ (Архангельская область),процент,значение показателя за год,,2018,8.1
Архангельская область (без АО),процент,значение показателя за год,,2013,6.0
Архангельская область (без АО),процент,значение показателя за год,,2014,7.3
Архангельская область (без АО),процент,значение показателя за год,,2015,6.8
Архангельская область (без АО),процент,значение показателя за год,,2016,7.1
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2016,7.1
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2017,6.4
Архангельская область (кроме Ненецкого автономного округа),процент,значение показателя за год,,2018,6.3
Вологодская область,процент,значение показателя за год,,2010,7.8
Вологодская область,процент,значение показателя за год,,2011,7.3
Вологодская область,процент,значение показателя за год,,2012,5.8
Вологодская область,процент,значение показателя за год,,2013,6.1
Вологодская область,процент,значение показателя за год,,2014,5.6
Вологодская область,процент,значение показателя за год,,2015,6.8
Вологодская область,процент,значение показателя за год,,2016,6.6
Вологодская область,процент,значение показателя за год,,2017,5.3
Вологодская область,процент,значение показателя за год,,2018,5.1
Калининградская область,процент,значение показателя за год,,2010,10.3
Калининградская область,процент,значение показателя за год,,2011,9.1
Калининградская область,процент,значение показателя за год,,2012,7.4
Калининградская область,процент,значение показателя за год,,2013,5.6
Калининградская область,процент,значение показателя за год,,2014,5.4
Калининградская область,процент,значение показателя за год,,2015,5.7
Калининградская область,процент,значение показателя за год,,2016,6.0
Калининградская область,процент,значение показателя за год,,2017,5.2
Калининградская область,процент,значение показателя за год,,2018,4.7
Ленинградская область,процент,значение показателя за год,,2010,5.2
Ленинградская область,процент,значение показателя за год,,2011,4.3
Ленинградская область,процент,значение показателя за год,,2012,3.2
Ленинградская область,процент,значение показателя за год,,2013,4.3
Ленинградская область,процент,значение показателя за год,,2014,4.5
Ленинградская область,процент,значение показателя за год,,2015,5.1
Ленинградская область,процент,значение показателя за год,,2016,4.6
Ленинградская область,процент,значение показателя за год,,2017,4.6
Ленинградская область,процент,значение показателя за год,,2018,4.1
Мурманская область,процент,значение показателя за год,,2010,8.6
Мурманская область,процент,значение показателя за год,,2011,8.6
Мурманская область,процент,значение показателя за год,,2012,7.7
Мурманская область,процент,значение показателя за год,,2013,7.2
Мурманская область,процент,значение показателя за год,,2014,6.7
Мурманская область,процент,значение показателя за год,,2015,7.8
Мурманская область,процент,значение показателя за год,,2016,7.7
Мурманская область,процент,значение показателя за год,,2017,7.0
Мурманская область,процент,значение показателя за год,,2018,6.8
Новгородская область,процент,значение показателя за год,,2010,5.6
Новгородская область,процент,значение показателя за год,,2011,4.9
